食品添加剂中文名称,食品添加剂英文名称,CNS,INS,功能,质量规格标准,JECFA规格资料,备注,添加剂说明
硫酸亚铁,ferrous sulfate,00.022,—,其他,,,,"食品添加剂名称：硫酸亚铁

**适用范围与用途**：
- **净水和照相制版**：用于处理水质及摄影材料的显影或定影过程。
- **治疗缺铁性贫血**：在医疗领域，硫酸亚铁被用作药物来补铁治疗贫血症。

**对人体的影响**：
- **成人**：适量使用通常对健康无害。过量摄入可能导致铁中毒的症状，如腹泻、呕吐、胃痛和皮肤发红。
- **小孩与孕妇**：对于儿童和孕妇而言，应遵循医嘱或食品标签上的指导剂量，因为其身体对铁的吸收能力和耐受性可能不同于成人。高剂量可能会导致铁中毒的风险增加，影响消化系统健康甚至神经系统发育。

**安全性评估**：
硫酸亚铁作为一种常见的营养补充剂，在一般情况下被认为是安全的。然而，对于儿童和孕妇以及有特定健康状况的人（如胃酸缺乏、肠胃道疾病）来说，应谨慎使用或在医生指导下使用。

**剂量控制**：
- **治疗缺铁性贫血**：药物级别的硫酸亚铁通常需要根据个人情况由医疗专业人员开具处方，并按照医嘱服用。剂量因人而异，通常范围在每日10至20毫克起。
- **水处理和植物养护**：用于水处理或植物养护时，使用量需按照特定应用的需求和说明进行，过量可能对土壤或植物产生不利影响。

总之，硫酸亚铁作为一种食品添加剂，在不同的应用场景下具有明确的用途，并且对人体的影响因使用方式、剂量及个体差异而不同。在日常使用中应遵循安全指导和专业建议，特别是在医疗用途上需严格控制用量。"
罗汉果甜苷,lo-han-kuo extract,19.015,—,甜味剂,,,,"食品添加剂名称：罗汉果甜苷

### 适用范围：
- 罗汉果甜苷通常用于需要低热量、高甜度的食品中，适合制作糖果、饮料、烘焙食品等。因其甜度约为蔗糖的300倍且热量极低（一般认为每克热量低于1卡），特别适用于糖尿病患者和关注体重管理的人群。

### 对人体的危害：
- **总体安全性**：罗汉果甜苷被广泛认为是安全的食品添加剂，没有明确证据表明其对人体有显著的副作用。在合理使用范围内不会对健康造成危害。
  
- **特定人群**：对于小孩、孕妇及老人而言，虽然通常被认为是安全的，但建议咨询医生或营养专家，在特定情况下（如孕期或存在特定健康问题时）谨慎使用。

### 剂量控制：
- 根据科学研究和行业标准，罗汉果甜苷在食品中的最大允许使用量相对较低。例如，在乳制品中，其添加量可能不超过1%，具体用量应根据食品类别、法规要求及食品安全评估进行调整。
  
- 在实际应用时，需要考虑个人健康状况、饮食习惯等因素，确保剂量不会超过安全范围。

### 防塌房注意事项：
对于代糖行业而言，选择和使用罗汉果甜苷时，应当关注其来源的纯度、提取方法是否符合食品安全标准。比如，使用前应确认产品是否经过正规检测机构的质量检验，以确保不含可能影响健康的杂质或污染物。

总之，罗汉果甜苷作为一种天然甜味剂，在食品工业中应用广泛且安全性良好。在合理使用和遵循相关法规剂量的前提下，其对绝大多数人群都是安全的。不过，对于特定健康状况（如孕妇、小孩、老人）的人群，建议在专业指导下使用。"
罗望子多糖胶,tamarind polysaccharide gum,20.011,—,增稠剂,,,,"### 罗望子多糖胶的介绍

**名称**: 罗望子多糖胶（Tamarind polysaccharide gum）

**来源**: 来自豆科罗望子属植物种子的胚乳，也称为酸角种子中提取分离出来的一种中性多糖类物质。

**性质**:
- 易溶于冷水中，
- 加热后可形成粘状液体，
- 具有良好的耐热、耐酸、耐盐和耐冷冻特性。

**应用范围**：
1. **食品增稠剂**：日本首先开发并用于食品工业，目前在英、美等发达国家和地区作为食品增稠剂使用。
2. 在氨基酸水溶液中添加瓜胶及罗望子种子的多糖提取物制成悬浊混合液（应用于盐的制造）。

### 安全性与适用人群：

1. **安全性**：
   - 罗望子多糖胶作为一种天然食品添加剂，在发达国家如美国、日本等有长期研究历史，被认为相对安全。
   
2. **对特定人群的影响**：
   - **小孩、孕妇和老人**：目前没有明确的科学证据表明罗望子多糖胶会对这些特定人群产生有害影响。然而，对于任何食品添加剂，建议在医生或营养师的指导下使用，尤其是在特殊健康状况下。

3. **剂量**：
   - 关于具体的每日推荐摄入量，通常由食品安全机构（如FAO/WHO）设定。具体剂量应遵循相关食品法规和产品标签上的指示。
   
### 总结：

罗望子多糖胶是一种从酸角种子中提取的天然多糖类物质，具有良好的增稠效果，并在多个国家被作为食品添加剂使用。根据现有信息，它被认为相对安全，在正常食用量下对大多数人群适用。对于小孩、孕妇和老人等特殊群体，建议根据个人健康状况或遵医嘱进行摄入。食品安全标准和具体使用剂量应参照当地法规和产品标签说明。

### 注意：
以上信息基于已有的知识总结，并可能随时间及研究进展而有所变化。在实际应用中，应参考最新科学研究和官方指南以确保食品的安全性和合规性。"
萝卜红,radish red,08.117,—,着色剂,,,,"萝卜红是一种食品添加剂，主要着色成分是天竺葵素的花色苷类。它通常通过从红心萝卜中提取获得，并经过一系列处理如螺旋压榨、真空浓缩和喷雾干燥等制备成成品。在食品工业中，萝卜红被用作色素。

### 适用范围
萝卜红可以用于多种食品以增添红色或橙色调，包括但不限于汤类（如养生汤膳中的青红萝卜排骨汤）、宴会菜肴（如红楼宴）以及各种蔬菜料理。它能够为菜肴带来鲜艳的颜色，提升视觉吸引力和风味体验。

### 对人体的影响
萝卜红作为一种食用色素，在合理的使用范围内一般被认为是对人体无害的。然而，对于特定个体（特别是孕妇、小孩和老人），如果食品中含有过量的添加剂或色素，可能需要特别关注其摄入量。在食品安全标准中，通常会有推荐的最大允许添加量，以确保安全。

### 营养价值与安全性
萝卜本身含有多种维生素和矿物质，如维生素A、维生素C、钾等。然而，作为食品添加剂的萝卜红主要是为了提供颜色而非直接营养成分。因此，在摄入时主要考虑其对食品外观的影响以及是否超过了安全使用量，而不是摄入过多可能导致健康问题的营养素。

### 合理使用
在实际应用中，建议遵循食品安全标准和指导原则来合理使用萝卜红。这包括了解并遵守当地相关法律法规中关于食品添加剂的最大允许添加量的规定。对于特殊人群（如孕妇、小孩、老人），应特别注意避免潜在的风险，并可能需要咨询专业意见以确保安全。

总之，萝卜红作为一种食品添加剂，在适量范围内使用通常是安全的，但具体使用时仍需遵循食品安全规定和指导原则，尤其是对特定敏感群体的人群。"
氯化钙,calcium chloride,18.002,509,稳定剂和凝固剂、增稠剂、其他,,,,"### 氯化钙的相关信息总结

#### 1. 应用领域：

- **化学反应**：用于各种化学实验及工业过程中。
- **干燥剂**：常作为气体（如氮气、氧气等）的干燥剂，但不能用于乙醇和氨的干燥。
- **脱水剂**：在生产醇、酯、醚、丙烯酸树脂时用作脱水剂。
- **相变蓄热材料**：可用于储能系统中，特别适用于需要调节温度变化的应用场景。

#### 2. 对人体的影响：

- 氯化钙作为一种盐类化合物，在正常使用量下通常被认为是安全的。但是摄入过量可能导致高血钙症（hypercalcemia），对健康造成潜在风险。
- **一般人群**：适量使用时通常不会对人体产生有害影响，但过量摄入可能会导致中毒症状，如恶心、呕吐等。

#### 3. 对不同群体的影响：

- **小孩、孕妇和老人**：与成人相比，儿童、孕妇和老年人的生理机能更敏感，因此在摄入任何化合物包括食品添加剂时需格外谨慎。高剂量的氯化钙对这些群体可能产生更大影响或风险。
  
#### 4. 剂量控制：

- 氯化钙作为一种化学物质，在食品工业中需要严格控制其使用量以确保安全。具体剂量通常取决于食品类型和预期效果，必须遵循相关的食品安全法规和标准。

### 总结：
氯化钙是一种用途广泛的化学试剂，主要用于实验室、工业生产以及特定的农业应用（如港口消雾剂）。在正常使用范围内对健康影响较小，但过量摄入可能导致高血钙症和其他健康问题。尤其对于小孩、孕妇及老人等敏感群体，在使用或食用含有氯化钙的产品时需要谨慎，并确保遵守食品添加剂的安全剂量规定。

### 注意：
以上信息基于一般性描述和已知研究，具体应用和安全性评估应遵循相关领域专家的指导以及食品安全法规的要求。"
氯化钾,potassium chloride,00.008,508,其他,,,,"食品添加剂名称：氯化钾（KCl）

### 适用食品：

氯化钾作为无机化合物，通常用于低钠盐、矿物质水的添加剂。在工业中，它被广泛应用于制造各种钾盐或碱（如氢氧化钾、碳酸钾等）。此外，在农业肥料领域，氯化钾也作为一种有效成分添加到化肥中。

### 对人体的影响：

- **一般安全性**：氯化钾本身作为食品添加剂和补剂，对于健康成人来说通常是安全的。它在临床中的应用表明其有确切的临床疗效。
- **潜在风险**：过量摄入氯化钾可能导致高血钾症（hyperkalemia），尤其是在肾功能不全者或服用某些药物（如利尿剂、ACE抑制剂等）的人群中，因为这些情况可能降低肾脏清除钾的能力。长期高钾饮食也可能影响心脏功能。

### 对特定人群的影响：

- **小孩**：儿童对钾的需求量相对较小，因此不需要额外补充氯化钾。过量摄入钾在儿童中的安全性尚未有充分研究。
- **孕妇**：孕妇需关注钾的摄入量，过高的钾摄入可能与妊娠高血压等健康问题相关。建议遵循医生或营养师的指导来调整饮食。
- **老人**：老年人对钾的需求和肾脏功能下降可能导致更高的风险，建议在医生指导下进行补充。

### 剂量：

正常情况下，食品级氯化钾的使用剂量应符合食品添加剂的安全标准。具体剂量需参照各国食品安全法规和推荐摄入量。例如，在某些食品中（如饮料、烘焙产品等），它可能作为味道调节剂或矿物质补充剂添加，并有明确的最大允许用量。

总体而言，虽然在正常范围内使用，氯化钾作为一种食品添加剂通常是安全的。但对于特定人群（如孕妇、老人及肾功能不全者）或存在相关健康问题的人群，建议遵循专业医疗指导和限制剂量摄入。"
氯化镁,magnesium chloride,18.003,511,稳定剂和凝固剂、增味剂,,,,"### 氯化镁的食品添加剂情况总结

#### 适用食品范围：
- 食用氯化镁在《食品添加剂使用标准》中被允许作为稳定剂或凝固剂用于豆类制品中。不过，它必须是食品级的产品，不可用工业品替代。

#### 对人体的影响：
1. **安全性**：食用氯化镁通常被认为是安全的，在推荐剂量内对人体无害。
2. **对特定人群的影响**：对于小孩、孕妇和老人而言，尽管一般认为氯化镁在正常用量下是安全的，但在特殊情况下（如长期高剂量摄入），可能需要特别注意。例如，过量摄入可能会导致镁中毒症状。

#### 剂量与使用：
- 在食品中使用的氯化镁剂量应在国家标准规定的范围内，以确保食品安全和适宜的食品口感或功能。具体剂量需遵循国家食品添加剂使用标准。

### 注意事项：
1. **工业与食用区分**：在实际应用时，应严格区分工业级氯化镁与用于食品加工的食用级别产品。
2. **安全性监控**：对于敏感群体（如儿童、孕妇和老人），在特定情况下或长期高剂量摄入时，需进行适当的监测和评估。

### 结论：
氯化镁作为食品添加剂，在豆类制品中的使用是被批准的，并且在推荐剂量内对人体通常是安全的。然而，其具体用量和适用范围应严格遵循食品安全标准和法律法规，特别是对于有特殊健康需求的人群，应当根据医生或营养师的建议谨慎使用。"
吗啉脂肪酸盐果蜡,morpholine fatty acid salt (fruit wax),14.004,—,被膜剂,,,,"食品添加剂""吗啉脂肪酸盐果蜡"",主要用于水果和蔬菜的表面处理以延长保鲜期。该物质通常包括两种来源:一是水果本身固有的天然果蜡,这通常是无害的;二是人工涂覆的食品级果蜡,其中常用的是巴西棕榈蜡以及吗啉脂肪酸盐果蜡。

1. **适用范围**：
   - 主要用于新鲜水果和蔬菜表面处理。
   - 根据食品安全国家标准（GB 1886.227-2016），它被广泛应用于食品工业中，特别是为保护水果表皮免受微生物、农药侵袭，延长商品寿命。

2. **对人体的影响**：
   - 在按照标准使用的情况下，吗啉脂肪酸盐果蜡对健康无害。
   - 天然果蜡和人工涂覆的食用级果蜡通常被认为是安全的，因为它们都是经过食品级别的评估，并被允许用于接触食物表面的产品中。

3. **对特定人群的影响**：
   - 对于小孩、孕妇、老人等特定人群来说，标准规定使用该物质时需遵循食品安全要求。理论上，只要在推荐剂量范围内使用，并且符合食品添加剂的使用规范，这些群体通常也是安全的。
   - 然而，如任何食品添加剂或化学成分，对个别敏感人群可能有潜在影响（例如过敏反应），因此在具体应用中仍需要谨慎。

4. **剂量**：
   - 对于吗啉脂肪酸盐果蜡的具体使用量，需遵循食品安全国家标准和行业指导。标准规定了其作为食品添加剂的使用范围、最大添加量等详细信息。
   - 在实际操作中，确保不超出规定的最大允许浓度，并在符合卫生与安全规范下进行应用是关键。

总之，吗啉脂肪酸盐果蜡作为一种食品添加剂，在正确且合规的情况下用于水果和蔬菜表面处理时对健康无害。使用者应严格遵循食品安全标准的规定来确保其安全性及有效性。"
麦芽糖醇，麦芽糖醇液,maltitol and maltitol syrup,"19.005,19.022","965(i),965(ii)",甜味剂、稳定剂、水分保持剂、乳化剂、膨松剂、增稠剂,,,,"麦芽糖醇液，也被称为氢化麦芽糖或D-Glucitol，是一种新型的功能性甜味剂。它具有低热量、非龋齿性（对牙齿无害）、难消化性以及能促进钙吸收等生理特性，因此受到广泛关注。

**适用范围：**
麦芽糖醇液常用于食品加工中作为甜味剂，可用于烘焙制品、糖果、饮料、乳制品等多种食品。因其不易被口腔中的细菌发酵产生酸，故特别适合糖尿病人和牙齿敏感者使用。

**对人体的影响：**
- **非龋齿性**：不会像蔗糖那样导致蛀牙。
- **低热量**：相比其他甜味剂如糖或高果糖玉米糖浆，麦芽糖醇的能量密度较低，这使得它在控制卡路里摄入方面有优势。
- **难消化性**：部分人体内的消化酶无法有效分解麦芽糖醇，导致它在大肠中被细菌发酵产生气体，可能导致腹部胀气等不适。

**对特定人群的影响：**
1. **小孩、孕妇和老人**：麦芽糖醇通常被认为是安全的，但由于个人体质差异或特殊健康状况（如乳糖不耐症），建议咨询医生或营养师以确认其是否适合特定群体。
2. **高血糖患者**：虽然麦芽糖醇的热量较低且对牙齿无害，但摄入过多任何甜味剂都可能影响血糖水平。糖尿病患者在使用时应遵循医嘱和个体化指导。

**剂量与安全性：**
- 麦芽糖醇液的安全日用量通常被视为每公斤体重约4至5克是安全的。
- 对于特殊人群（如孕妇、儿童或有特定健康问题的人），可能需要根据具体情况调整摄入量，甚至在某些情况下需避免使用。重要的是，在大量摄入前进行咨询，并监测身体反应。

总之，麦芽糖醇液作为一种功能性甜味剂，具有多种有益特性，尤其适合对蔗糖敏感的个体使用，但在特定人群或高剂量摄入时应谨慎考虑潜在副作用和适应性。"
没食子酸丙酯（简称“PG”）,propyl gallate (PG),04.003,310,抗氧化剂,,,,"没食子酸丙酯（Propyl gallate，简称PG）是一种常用的食品抗氧化剂。以下是关于它的详细情况：

### 适用范围：
- **食品油脂**：用于延长油品的保质期。
- **油炸食品**：提高产品的稳定性与口感。
- **干鱼制品**：防止氧化变质，保持产品新鲜度。

### 对人体的影响：
PG作为一种抗氧化剂，在合理使用范围内被认为是安全的。它被允许在多种食品中添加，并且有明确的日摄入量建议（ADI）值。然而，过量摄入可能会对人体健康造成潜在风险。

- **对小孩、孕妇及老人**：由于个体差异和对食物成分的敏感性不同，这些群体需要特别注意避免过量摄入含PG的食物。孕期应谨慎使用任何食品添加剂。
  
### 剂量：
- PG的日摄取量建议值为0.5 mg/kg体重。这意味着一个60kg成人的每日最大安全摄入量约为30mg。

### 安全性：
尽管在合理使用范围内，PG被认为是相对安全的，但长期或过量摄入可能对某些个体产生不良反应。因此，在食品制造和加工过程中，应严格遵守法规中规定的最大添加量。

### 总结：
没食子酸丙酯（PG）是一种广泛应用于多种食品中的抗氧化剂，有助于延长食品保质期并保持其品质。在合理使用下，它被认为是安全的，但对于儿童、孕妇及老人等特定人群，建议特别关注摄入量以避免潜在风险。了解和遵循相关的食品安全标准是确保消费者健康的关键。"
玫瑰茄红,roselle red,08.125,—,着色剂,,,,"### 玫瑰茄红（Rose Hips Red）概述：

**名称**：玫瑰茄红，又称“植物红宝石”，在不同的文摘和资料中可能被称为洛神花、玫瑰茄、红荆梅或红莓果。

**来源**：它主要来源于一种名为玫瑰茄的植物的花萼与苞片。这种植物属于草本植物，其提取物被广泛用于食品着色及美容保健领域。

### 适用范围：

- **食品加工**：玫瑰茄红常作为天然色素应用于饮料、烘焙产品、糖果等食品中，以赋予其红色或橙色色泽。
- **保健品**：在保健品和健康饮品中添加玫瑰茄红，以提升产品的视觉吸引力，并可能因其潜在的营养成分而被认为有益于健康。

### 安全性：

1. **对一般人群**：由于玫瑰茄红是天然来源的色素，通常被认为是安全的。不过，在具体使用时需注意剂量控制和食品安全标准。
2. **对儿童、孕妇及老人**：尽管目前没有直接针对儿童、孕妇或老年人特定群体的明确安全性研究，但因玫瑰茄具有一定的药用价值（如敛肺止咳），因此在建议食用前最好咨询医生或营养师意见。对于婴幼儿食品，更应谨慎考虑其摄入量和适应性。

### 剂量：

- **标准用量**：具体剂量取决于应用领域及食品法规要求。例如，在美国，玫瑰茄红作为天然色素的使用需符合联邦法规21 CFR 172部分的规定。
- **个人化建议**：不同人群（特别是儿童、孕妇和老人）在摄入任何类型的添加剂时，建议遵循推荐的每日摄入量或医疗专业人士的指导。

### 总结：

玫瑰茄红是一种源自天然植物的红色素，主要用于食品着色。其安全性相对较高，但使用时需关注剂量，并在特定人群中（如儿童、孕妇及老人）考虑其潜在影响。对于具体应用和食用建议，建议参考相关食品安全法规和专业意见。"
酶解大豆磷脂,enzymatically decomposed soybean phospholipid,10.040,—,乳化剂,,,,"酶解大豆磷脂是一种由天然大豆磷脂通过脂肪酶或磷脂酶降解、精制等工艺制得的产品,主要应用于医药、保健品、食品和化妆品等领域。其主要成分为C12H22O11，纯度高达99%，品牌有世纪之星。在食品工业中，通常以液体或粉末形式出现。

### 适用范围：

- **食品加工**：酶解大豆磷脂可用于改善食品的口感、质地和稳定乳浊液，常用于烘焙产品（如蛋糕、面包）、油炸食品（如麻花）等。
- **保健品**：在补充剂中添加酶解大豆磷脂，因其具有生物活性作用。
- **化妆品**：作为皮肤保湿成分或增加产品的稳定性。

### 对人体的影响：

酶解大豆磷脂是天然物质经过加工得到的，通常被认为对人体安全。然而，关于特定剂量与健康影响的研究较多集中在婴幼儿、孕妇和老年人上。

- **小孩**：在合理用量下，对儿童无特殊风险。
- **孕妇**：适量摄入被认为是安全的，但建议咨询医生或营养师以确保适宜剂量。
- **老人**：同样，在正常食用量内通常不会引起问题。然而，需要关注可能与特定健康状况（如肝肾功能）相关的潜在影响。

### 剂量：

酶解大豆磷脂的具体推荐剂量因应用不同而有所差异。在食品中，其添加量需遵循相关法规和建议的每日摄入量标准。例如，在烘焙产品中的使用量可能会根据产品的类型、口感需求和风味保持平衡。对于保健品和化妆品，具体剂量则需要考虑特定的产品配方和成分要求。

总体而言，酶解大豆磷脂作为一种功能性食品添加剂，其安全性较好，但在实际应用时需关注不同人群的特殊健康需求，并遵循适当的摄入指导原则。"
迷迭香提取物,rosemary extract,04.017,392,抗氧化剂,,,包括迷迭香提取物（超临界二氧化碳萃取法）。,"### 关于食品添加剂迷迭香提取物的情况总结：

#### 1. 应用范围：
- **鱼油制品**：用于防止多烯脂及酸的过氧化分解，能有效延长其保质期。
- **调味品和食品调合油**：能增强风味并延长产品的货架寿命。
- **饼干等烘焙产品**：作为代糖使用，提供甜味而不添加传统糖分。

#### 2. 对人体的影响：
- **抗氧化性**：研究表明迷迭香提取物具有强大的抗氧化能力，对预防氧化损伤有益处。这有助于保护细胞免受自由基的损害。
- **安全性**：在GB 1886.172-2016食品安全国家标准中，明确规定了其作为食品添加剂的安全使用范围和最大允许添加量，一般认为在合规使用的剂量下对人体是安全的。

#### 3. 对特定人群的影响：
- **小孩、孕妇、老人**：迷迭香提取物被认为具有安全性，在推荐剂量内对这些群体通常没有显著风险。然而，由于个体差异和可能存在的潜在过敏反应，建议根据具体健康状况在使用前咨询医生或营养专家。
- **注意事项**：对于有特殊健康条件的人群（如哮喘、心脏病、甲状腺问题等），应谨慎使用含迷迭香提取物的产品，并在专业指导下使用。

#### 4. 剂量限制：
- 根据食品安全国家标准GB 1886.172-2016，对食品添加剂迷迭香提取物有明确的每日最大允许摄入量。具体剂量通常取决于产品的类型、配方及预期用途。
- 在使用时应严格遵循规定的安全范围和指导建议，以确保产品既具有功效又保持在安全界限内。

总之，迷迭香提取物作为一种天然抗氧化剂和防腐剂，在多种食品中都有应用，并被认为是相对安全的添加剂。然而，其具体应用剂量和安全性仍需根据个体差异及健康状况进行调整或咨询专业人士。"
明胶,gelatin,20.002,428,增稠剂,,,,"食品添加剂名称：明胶

**产品分类**：
根据生产方式的不同，明胶可以分为酸法明胶（A型）、碱法明胶（B型）、酶法明胶以及水解明胶。主要区别在于其在生产过程中的前处理阶段不同。

**适用场景**：
1. **烘焙和糖果制作**：用于制造果冻、软糖等，提供弹性、稳定性和保形性。
2. **食品加工**：作为增稠剂、稳定剂、澄清剂、发泡剂等用途广泛，适用于肉制品、饮料、酸奶等多种食品中。

**对人体的影响**：
1. **非有害物质**：明胶本身是一种天然蛋白质，在人体内可以被分解为氨基酸，是安全的食品添加剂。对于大部分人群来说，食用明胶不会造成健康问题。
2. **特定人群注意**：对于对动物蛋白过敏的人群，应避免摄入含有明胶的产品。孕妇、儿童和老年人在饮食中适量摄入即可，无特殊有害风险。

**剂量控制**：
1. 通常情况下，食品工业中的明胶添加量受到法规限制，确保不会超过安全水平。
2. 安全食用指南建议：成人每天摄入的明胶量应不超过总热量的0.5%～1%，具体根据个人饮食习惯和健康状况调整。

总的来说，明胶作为食品添加剂在多种加工食品中应用广泛且安全性高。但对有特定过敏情况的人群需特别注意，遵循适量原则以确保食品安全与健康。"
木松香甘油酯,glycerol ester of wood rosin,10.041,445(iii),乳化剂,,,,"食品添加剂名称：木松香甘油酯（Glycerol Ester of Rosin）

### 适用范围：
- **工业领域**：在橡胶工业中用作软化剂，可增加其弹性。歧化松香钾皂也可用于合成橡胶。
- **食品行业**：作为食品添加剂被批准用于某些加工和生产过程中，例如在畜禽脱毛处理工艺中。

### 安全性：
1. **对成人**：根据《食品安全国家标准食品添加剂标准（GB2760-2014）》规定，松香甘油酯作为脱毛剂，在符合规定的使用条件下是安全的。
2. **对儿童、孕妇及老人**：关于木松香甘油酯对人体健康的详细影响信息较少提及。一般而言，食品添加剂在适当的剂量下用于特定用途被认为是安全的。不过，考虑到其化学特性（如可能含有重金属杂质），在摄入时应确保符合食品安全标准，特别是对于特殊人群（如儿童、孕妇和老人）。

### 剂量与使用：
- **食用级**：木松香甘油酯作为食品添加剂时需严格遵循GB2760中的规定剂量。具体的最大允许添加量通常会在相应的法规或具体的产品说明中给出。
- **非食用级（工业用途）**：在工业脱毛过程中，应确保使用的是符合食品安全标准的木松香甘油酯，并且避免使用未加工或未经处理的工业松香。

### 注意事项：
1. **选择优质产品**：考虑使用正规渠道提供的食品级木松香甘油酯，以确保产品的纯度和安全性。
2. **遵循法规要求**：在任何食品生产过程中添加木松香甘油酯时，应严格遵守国家及地方的食品安全标准和指导原则。

总体而言，木松香甘油酯作为一种食品添加剂，在适当的使用条件下被广泛接受。然而，对于特定个体（如儿童、孕妇和老人）可能需要考虑其潜在的影响，确保按照推荐剂量使用，并遵循相关的安全与健康建议。"
木糖醇,xylitol,19.007,967,甜味剂,,,,"**食品添加剂名称：木糖醇**

**适用在哪些食品上：**
木糖醇作为糖的替代品，广泛应用于各种需要减少热量和糖分摄入的食物中。它常用于烘焙食品、糖果、口香糖、饮料等甜味产品。因其低热值和良好的口感，是糖尿病患者和希望控制体重人群的良好选择。

**是否对人体有害：**
木糖醇在人体内代谢过程中不易被胰岛素影响，并不会引起血糖水平的显著升高，对糖尿病患者较为友好。一般情况下，适量食用木糖醇对人体无害。但过量摄入可能引起腹泻等轻微消化系统反应。

**对小孩、孕妇、老人的影响：**
对于儿童而言，由于胃肠道未完全发育成熟，过多食用木糖醇可能增加其胃部负担，导致不适。因此，建议在医生或营养师的指导下适量使用。对于孕妇和老年人，因体质和代谢能力与一般人群有所不同，同样需要适量并注意观察反应。

**剂量问题：**
一般来说，木糖醇的安全摄入量为每天每公斤体重不超过1-2克。对于健康成人而言，每日食用木糖醇的总摄入量约为40克左右是安全的。然而，具体摄入量需根据个体健康状况和需求调整，并在需要时咨询专业医生或营养师。

总之，虽然木糖醇作为一种甜味剂具有诸多优点，但其应用仍应适量，特别是对于特定人群（如儿童、孕妇、老年人）来说，在饮食中加入木糖醇应当谨慎并遵循指导。"
木糖醇酐单硬脂酸酯,xylitan monostearate,10.007,—,乳化剂,,,,"木糖醇酐单硬脂酸酯是一种食品添加剂，主要用作乳化剂。根据提供的信息，我们可以总结出以下关于木糖醇酐单硬脂酸酯的情况：

### 使用范围：
1. **乳制食品、肉制食品、烘焙食品、面制食品**：用于改善这些食品的结构和口感。
2. **各式饮料**：可能用于增加或维持某些饮料中的稳定性。

### 安全性与影响：
- 标准GB 1886.112-2015中提到木糖醇酐单硬脂酸酯为食品安全国家标准，说明它在食品工业中有明确的使用标准和限制。这意味着其安全性得到了一定的认可。
- **对小孩、孕妇及老人**：一般情况下，木糖醇及其衍生物被认为是安全的食品添加剂，并适用于各个年龄段的人群。然而，如果存在个体特异性的过敏反应或健康问题，则需谨慎处理。

### 剂量：
标准中可能包含了木糖醇酐单硬脂酸酯在不同食品类别中的**最大允许使用量**和**最大允许残留量**的标准。这些规定旨在确保添加到食品中的剂量不会超过对消费者健康造成潜在风险的水平。具体数值通常由食品安全机构根据科学数据进行设定。

### 总结：
木糖醇酐单硬脂酸酯是一种被广泛应用于食品工业中的乳化剂，其安全性在一定程度上得到了认可，适用于包括儿童、孕妇和老人在内的各类人群。使用时需严格遵守相关标准中规定的最大允许使用量，以确保食品安全性和适宜性。具体的剂量应根据GB 2760-2024等国家标准进行调整，以适应新标准的实施要求。

请注意，食品添加剂的安全性评估是一个复杂的过程，可能需要综合考虑个体差异、健康状况和特定食物成分的相互作用。在实际应用中，建议遵循最新的食品安全法规和科学指导原则。"
纳他霉素,natamycin,17.030,235,防腐剂,,,,"纳他霉素（Natamycin）是一种由链霉菌发酵产生的天然抗真菌化合物，属于多烯大环内酯类。它的主要作用是抑制各种霉菌、酵母菌的生长，并能有效阻止真菌毒素的产生。该防腐剂因其高效、广谱以及对人体相对低毒性的特点，在食品工业中得到广泛应用。

### 适用场景

纳他霉素在多种食品中都有应用，主要包括：

- 发酵酒：最大使用量为0.01g/L。
- 蛋黄酱和沙拉酱等调味品：最大使用量为0.02 g/kg，残留量需小于或等于10mg/kg。
- 其他食品：最大使用量一般为0.3 g/kg，同样要求残留量在一定范围内。

### 安全性

纳他霉素被认为是低毒且对大多数人群相对安全的防腐剂。然而，考虑到其是一种生物来源的化合物，对于特定人群（如过敏体质、免疫力较弱的人群）可能仍存在潜在反应的风险。因此，在实际应用中，应遵循相关食品安全标准进行使用，并确保符合残留限量要求。

- **小孩**：一般认为纳他霉素对小孩的影响与成人相似，但考虑到儿童群体的差异性，建议在摄入量上保持谨慎。
- **孕妇**：虽然目前没有明确证据表明纳他霉素对孕妇和胎儿有害，但在孕期饮食中应选择安全性的高过食品，并咨询医生或营养师的意见。
- **老人**：老年人通常免疫系统相对较弱，因此对于防腐剂的使用需要更加小心。建议遵循食品安全标准并根据个人健康状况调整摄入量。

### 剂量与使用

纳他霉素的具体剂量因应用领域而异，但一般情况下被限制在较低水平以确保安全性。例如，在发酵酒中的最大使用量为0.01g/L，在蛋黄酱和沙拉酱中则为0.02 g/kg，并要求残留量不超过特定限值。

在实际应用过程中，应严格遵循GB 2760-2014《食品安全国家标准 食品添加剂使用标准》中的规定进行。此外，确保食品加工过程的卫生条件也是维护纳他霉素安全性的关键因素之一。"
